userid,study,class,total,average_no_phone,median_no_phone,std_no_phone,average_no_phone,median_no_phone,std_no_phone,max_streak
1,0.12308476854963955,0.0994413666813472,0.22252613523098674,8.89501312335958,3.0,12.684729543135909,8.89501312335958,3.0,12.684729543135909,84.0
3,0.18775642660114508,0.06189008136111819,0.2496465079622633,7.609865470852018,4.0,10.57602379697111,7.609865470852018,4.0,10.57602379697111,110.0
5,0.08344730071162004,0.1467281704179319,0.23017547112955195,14.30167597765363,7.0,25.19595931704492,14.30167597765363,7.0,25.19595931704492,245.0
6,0.19053800329153242,0.08692427157460421,0.2774622748661366,11.992647058823529,5.0,25.664262266797422,11.992647058823529,5.0,25.664262266797422,508.0
8,0.08622887740200737,0.10152754919913771,0.18775642660114508,8.015384615384615,4.0,10.9509287385448,8.015384615384615,4.0,10.9509287385448,109.0
9,0.018775642660114507,0.0744071764678612,0.09318281912797571,12.583333333333334,6.0,14.608549627605822,12.583333333333334,6.0,14.608549627605822,70.0
12,0.12169398020444588,0.05145916877216569,0.17315314897661158,7.4689922480620154,4.0,10.59055670078292,7.4689922480620154,4.0,10.59055670078292,83.0
13,0.13282028696599524,0.02503419021348601,0.15785447717948126,4.406458797327394,4.0,15.106991940819084,4.406458797327394,4.0,15.106991940819084,422.0
15,0.1383834403467699,0.04659140956398786,0.18497484991075774,18.555555555555557,5.0,32.45701220922215,18.555555555555557,5.0,32.45701220922215,259.0
18,0.22115852669154631,0.08553348322941054,0.30669200992095685,10.99405646359584,3.0,26.837023289808677,10.99405646359584,3.0,26.837023289808677,398.0
19,0.15715908300688441,0.020166431005308176,0.1773255140121926,6.988727858293076,4.0,9.52079858142332,6.988727858293076,4.0,9.52079858142332,141.0
24,0.12517095106743006,0.06536705222410236,0.19053800329153242,,,,0.0,0.0,0.0,0.0
26,0.2288078625901115,0.0890104540923947,0.3178183166825062,7.84887839433294,4.0,20.28668951478465,7.84887839433294,4.0,20.28668951478465,529.0
28,0.12656173941262372,0.04172365035581002,0.16828538976843374,33.21238938053097,12.0,53.67460982912275,33.21238938053097,12.0,53.67460982912275,342.0
30,0.027120372731276512,0.08692427157460421,0.11404464430588072,8.772277227722773,4.0,14.725798193578381,8.772277227722773,4.0,14.725798193578381,114.0
31,0.04450522704619735,0.03546510280243852,0.07997032984863586,43.05555555555556,4.0,101.71281587676279,43.05555555555556,4.0,101.71281587676279,510.0
32,0.002086182517790501,0.11195846178809021,0.11404464430588071,2.9166666666666665,1.5,3.25213605018131,2.9166666666666665,1.5,3.25213605018131,13.0
33,0.07023481143228019,0.06745323474189287,0.13768804617417307,8.61111111111111,5.0,10.131846869532442,8.61111111111111,5.0,10.131846869532442,56.0
34,0.06608562620245242,0.012517095106743006,0.07860272130919543,10.50561797752809,3.0,34.925160305586466,10.50561797752809,3.0,34.925160305586466,369.0
41,0.054240745462553024,0.029901949421663847,0.08414269488421687,5.3076923076923075,4.0,5.082165125895056,5.3076923076923075,4.0,5.082165125895056,23.0
43,0.10709070257991238,0.023643401868292342,0.1307341044482047,31.0,7.0,203.91874495851172,31.0,7.0,203.91874495851172,2153.0
45,0.16272223638765906,0.058413110498134024,0.2211353468857931,9.06963249516441,5.0,10.514381164715898,9.06963249516441,5.0,10.514381164715898,72.0
48,0.15509608029484712,0.01529867179713034,0.17039475209197746,6.222222222222222,3.0,7.795941523669374,6.222222222222222,3.0,7.795941523669374,52.0
52,0.15437750631649708,0.03268352611205118,0.18706103242854827,15.734285714285715,4.0,44.0477756393613,15.734285714285715,4.0,44.0477756393613,449.0
55,0.08761966574720104,0.08553348322941054,0.17315314897661158,7.623333333333333,4.0,9.804495000877006,7.623333333333333,4.0,9.804495000877006,68.0
57,0.12169398020444588,0.12517095106743006,0.24686493127187595,19.61137440758294,8.0,31.481141025876088,19.61137440758294,8.0,31.481141025876088,236.0
58,0.20444588674346909,0.06884402308708654,0.2732899098305556,7.584013050570962,2.0,19.239832734902873,7.584013050570962,2.0,19.239832734902873,240.0
59,0.0806657240212327,0.0027815766903873346,0.08344730071162004,7.0285714285714285,3.0,9.791875015875695,7.0285714285714285,3.0,9.791875015875695,63.0
62,0.22533089172712734,0.03476970862984168,0.260100600356969,9.282647584973166,5.0,13.896714691454823,9.282647584973166,5.0,13.896714691454823,166.0
65,0.05145916877216569,0.09735518416355671,0.1488143529357224,7.080851063829787,4.0,9.365273980108583,7.080851063829787,4.0,9.365273980108583,69.0
66,0.12586634524002688,0.01529867179713034,0.14116501703715723,15.838862559241706,2.0,34.31499757280872,15.838862559241706,2.0,34.31499757280872,240.0
70,0.03337892028464801,0.14675135022368513,0.18013027050833313,8.271739130434783,2.0,16.572045123765538,8.271739130434783,2.0,16.572045123765538,84.0
72,0.01947103683271134,0.03198813193945435,0.05145916877216569,6.8,5.0,6.249799996799897,6.8,5.0,6.249799996799897,31.0
73,0.17873948216313948,0.07093020560487703,0.2496696877680165,48.94017094017094,7.0,99.72588846804027,48.94017094017094,7.0,99.72588846804027,668.0
74,0.24897429359541967,0.07579796481305487,0.32477225840847457,10.022099447513812,3.0,27.097115257178732,10.022099447513812,3.0,27.097115257178732,393.0
75,0.17037157228622424,0.059803898843327694,0.23017547112955195,7.491666666666666,4.0,10.60282653614382,7.491666666666666,4.0,10.60282653614382,99.0
76,0.06258547553371503,0.12169398020444588,0.1842794557381609,13.561290322580644,4.0,20.155871271720418,13.561290322580644,4.0,20.155871271720418,109.0
80,0.09526900164576621,0.06049929301592453,0.15576829466169073,53.205882352941174,21.0,90.90825349567122,53.205882352941174,21.0,90.90825349567122,628.0
82,0.018775642660114507,0.10987227927029972,0.12864792193041422,,,,0.0,0.0,0.0,0.0
83,0.15576829466169073,0.10569991423471871,0.2614682088964094,16.887878787878787,9.0,21.098531581472642,16.887878787878787,9.0,21.098531581472642,136.0
86,0.09596439581836304,0.013907883451936673,0.10987227927029972,,,,0.0,0.0,0.0,0.0
87,0.07718875315824854,0.03059734359426068,0.10778609675250922,17.526946107784433,10.0,20.149386514266066,17.526946107784433,10.0,20.149386514266066,87.0
89,0.17245775480401473,0.0,0.17245775480401473,15.70379746835443,6.0,23.14928679787177,15.70379746835443,6.0,23.14928679787177,171.0
91,0.07927493567603904,0.14116501703715723,0.22043995271319627,20.228070175438596,8.0,39.09323876744429,20.228070175438596,8.0,39.09323876744429,274.0
92,0.06189008136111819,0.03894207366542268,0.10083215502654087,8.202586206896552,4.0,18.04298966552258,8.202586206896552,4.0,18.04298966552258,193.0
